年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,年号甲,年号乙,年号丙
公元前八百八十七年,-887,甲戌,狗,周朝,西周,,西周孝王姬辟方,,孝王六年,,
公元前八百八十六年,-886,乙亥,猪,周朝,西周,,西周孝王姬辟方,,孝王七年,,
公元前八百八十五年,-885,丙子,鼠,周朝,西周,,西周夷王姬燮,,夷王元年,,
公元前八百八十四年,-884,丁丑,牛,周朝,西周,,西周夷王姬燮,,夷王二年,,
公元前八百八十三年,-883,戊寅,虎,周朝,西周,,西周夷王姬燮,,夷王三年,,
公元前八百八十二年,-882,己卯,兔,周朝,西周,,西周夷王姬燮,,夷王四年,,
公元前八百八十一年,-881,庚辰,龙,周朝,西周,,西周夷王姬燮,,夷王五年,,
公元前八百八十年,-880,辛巳,蛇,周朝,西周,,西周夷王姬燮,,夷王六年,,
公元前八百七十九年,-879,壬午,马,周朝,西周,,西周夷王姬燮,,夷王七年,,
公元前八百七十八年,-878,癸未,羊,周朝,西周,,西周夷王姬燮,西周厉王姬胡,夷王八年,厉王元年,
公元前八百七十七年,-877,甲申,猴,周朝,西周,,西周厉王姬胡,,厉王二年,,
公元前八百七十六年,-876,乙酉,鸡,周朝,西周,,西周厉王姬胡,,厉王三年,,
公元前八百七十五年,-875,丙戌,狗,周朝,西周,,西周厉王姬胡,,厉王四年,,
公元前八百七十四年,-874,丁亥,猪,周朝,西周,,西周厉王姬胡,,厉王五年,,
公元前八百七十三年,-873,戊子,鼠,周朝,西周,,西周厉王姬胡,,厉王六年,,
公元前八百七十二年,-872,己丑,牛,周朝,西周,,西周厉王姬胡,,厉王七年,,
公元前八百七十一年,-871,庚寅,虎,周朝,西周,,西周厉王姬胡,,厉王八年,,
公元前八百七十年,-870,辛卯,兔,周朝,西周,,西周厉王姬胡,,厉王九年,,
公元前八百六十九年,-869,壬辰,龙,周朝,西周,,西周厉王姬胡,,厉王十年,,
公元前八百六十八年,-868,癸巳,蛇,周朝,西周,,西周厉王姬胡,,厉王十一年,,
公元前八百六十七年,-867,甲午,马,周朝,西周,,西周厉王姬胡,,厉王十二年,,
公元前八百六十六年,-866,乙未,羊,周朝,西周,,西周厉王姬胡,,厉王十三年,,
公元前八百六十五年,-865,丙申,猴,周朝,西周,,西周厉王姬胡,,厉王十四年,,
公元前八百六十四年,-864,丁酉,鸡,周朝,西周,,西周厉王姬胡,,厉王十五年,,
公元前八百六十三年,-863,戊戌,狗,周朝,西周,,西周厉王姬胡,,厉王十六年,,
公元前八百六十二年,-862,己亥,猪,周朝,西周,,西周厉王姬胡,,厉王十七年,,
公元前八百六十一年,-861,庚子,鼠,周朝,西周,,西周厉王姬胡,,厉王十八年,,
公元前八百六十年,-860,辛丑,牛,周朝,西周,,西周厉王姬胡,,厉王十九年,,
公元前八百五十九年,-859,壬寅,虎,周朝,西周,,西周厉王姬胡,,厉王二十年,,
公元前八百五十八年,-858,癸卯,兔,周朝,西周,,西周厉王姬胡,,厉王二十一年,,
公元前八百五十七年,-857,甲辰,龙,周朝,西周,,西周厉王姬胡,,厉王二十二年,,
公元前八百五十六年,-856,乙巳,蛇,周朝,西周,,西周厉王姬胡,,厉王二十三年,,
公元前八百五十五年,-855,丙午,马,周朝,西周,,西周厉王姬胡,,厉王二十四年,,
公元前八百五十四年,-854,丁未,羊,周朝,西周,,西周厉王姬胡,,厉王二十五年,,
公元前八百五十三年,-853,戊申,猴,周朝,西周,,西周厉王姬胡,,厉王二十六年,,
公元前八百五十二年,-852,己酉,鸡,周朝,西周,,西周厉王姬胡,,厉王二十七年,,
公元前八百五十一年,-851,庚戌,狗,周朝,西周,,西周厉王姬胡,,厉王二十八年,,
公元前八百五十年,-850,辛亥,猪,周朝,西周,,西周厉王姬胡,,厉王二十九年,,
公元前八百四十九年,-849,壬子,鼠,周朝,西周,,西周厉王姬胡,,厉王三十年,,
公元前八百四十八年,-848,癸丑,牛,周朝,西周,,西周厉王姬胡,,厉王三十一年,,
公元前八百四十七年,-847,甲寅,虎,周朝,西周,,西周厉王姬胡,,厉王三十二年,,
公元前八百四十六年,-846,乙卯,兔,周朝,西周,,西周厉王姬胡,,厉王三十三年,,
公元前八百四十五年,-845,丙辰,龙,周朝,西周,,西周厉王姬胡,,厉王三十四年,,
公元前八百四十四年,-844,丁巳,蛇,周朝,西周,,西周厉王姬胡,,厉王三十五年,,
公元前八百四十三年,-843,戊午,马,周朝,西周,,西周厉王姬胡,,厉王三十六年,,
公元前八百四十二年,-842,己未,羊,周朝,西周,,西周厉王姬胡,,厉王三十七年,,
公元前八百四十一年,-841,庚申,猴,周朝,西周,,西周共和,,共和元年,,
公元前八百四十年,-840,辛酉,鸡,周朝,西周,,西周共和,,共和二年,,
公元前八百三十九年,-839,壬戌,狗,周朝,西周,,西周共和,,共和三年,,
公元前八百三十八年,-838,癸亥,猪,周朝,西周,,西周共和,,共和四年,,
公元前八百三十七年,-837,甲子,鼠,周朝,西周,,西周共和,,共和五年,,
公元前八百三十六年,-836,乙丑,牛,周朝,西周,,西周共和,,共和六年,,
公元前八百三十五年,-835,丙寅,虎,周朝,西周,,西周共和,,共和七年,,
公元前八百三十四年,-834,丁卯,兔,周朝,西周,,西周共和,,共和八年,,
公元前八百三十三年,-833,戊辰,龙,周朝,西周,,西周共和,,共和九年,,
公元前八百三十二年,-832,己巳,蛇,周朝,西周,,西周共和,,共和十年,,
公元前八百三十一年,-831,庚午,马,周朝,西周,,西周共和,,共和十一年,,
公元前八百三十年,-830,辛未,羊,周朝,西周,,西周共和,,共和十二年,,
公元前八百二十九年,-829,壬申,猴,周朝,西周,,西周共和,,共和十三年,,
公元前八百二十八年,-828,癸酉,鸡,周朝,西周,,西周共和,,共和十四年,,
公元前八百二十七年,-827,甲戌,狗,周朝,西周,,西周宣王姬静,,宣王元年,,
公元前八百二十六年,-826,乙亥,猪,周朝,西周,,西周宣王姬静,,宣王二年,,
公元前八百二十五年,-825,丙子,鼠,周朝,西周,,西周宣王姬静,,宣王三年,,
