年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,在位皇帝丙,在位皇帝丁,年号甲,年号乙,年号丙
公元前五百九十年,-590,辛未,羊,周朝,东周,春秋,东周定王姬瑜,,,,定王十七年,,
公元前五百八十九年,-589,壬申,猴,周朝,东周,春秋,东周定王姬瑜,,,,定王十八年,,
公元前五百八十八年,-588,癸酉,鸡,周朝,东周,春秋,东周定王姬瑜,,,,定王十九年,,
公元前五百八十七年,-587,甲戌,狗,周朝,东周,春秋,东周定王姬瑜,,,,定王二十年,,
公元前五百八十六年,-586,乙亥,猪,周朝,东周,春秋,东周简王姬夷,东周定王姬瑜,,,定王二十一年,,
公元前五百八十五年,-585,丙子,鼠,周朝,东周,春秋,东周简王姬夷,,,,简王元年,,
公元前五百八十四年,-584,丁丑,牛,周朝,东周,春秋,东周简王姬夷,,,,简王二年,,
公元前五百八十三年,-583,戊寅,虎,周朝,东周,春秋,东周简王姬夷,,,,简王三年,,
公元前五百八十二年,-582,己卯,兔,周朝,东周,春秋,东周简王姬夷,,,,简王四年,,
公元前五百八十一年,-581,庚辰,龙,周朝,东周,春秋,东周简王姬夷,,,,简王五年,,
公元前五百八十年,-580,辛巳,蛇,周朝,东周,春秋,东周简王姬夷,,,,简王六年,,
公元前五百七十九年,-579,壬午,马,周朝,东周,春秋,东周简王姬夷,,,,简王七年,,
公元前五百七十八年,-578,癸未,羊,周朝,东周,春秋,东周简王姬夷,,,,简王八年,,
公元前五百七十七年,-577,甲申,猴,周朝,东周,春秋,东周简王姬夷,,,,简王九年,,
公元前五百七十六年,-576,乙酉,鸡,周朝,东周,春秋,东周简王姬夷,,,,简王十年,,
公元前五百七十五年,-575,丙戌,狗,周朝,东周,春秋,东周简王姬夷,,,,简王十一年,,
公元前五百七十四年,-574,丁亥,猪,周朝,东周,春秋,东周简王姬夷,,,,简王十二年,,
公元前五百七十三年,-573,戊子,鼠,周朝,东周,春秋,东周简王姬夷,,,,简王十三年,,
公元前五百七十二年,-572,己丑,牛,周朝,东周,春秋,东周灵王姬泄心,东周简王姬夷,,,简王十四年,襄公元年,
公元前五百七十一年,-571,庚寅,虎,周朝,东周,春秋,东周灵王姬泄心,,,,灵王元年,襄公二年,
公元前五百七十年,-570,辛卯,兔,周朝,东周,春秋,东周灵王姬泄心,,,,灵王二年,襄公三年,
公元前五百六十九年,-569,壬辰,龙,周朝,东周,春秋,东周灵王姬泄心,,,,灵王三年,襄公四年,
公元前五百六十八年,-568,癸巳,蛇,周朝,东周,春秋,东周灵王姬泄心,,,,灵王四年,襄公五年,
公元前五百六十七年,-567,甲午,马,周朝,东周,春秋,东周灵王姬泄心,,,,灵王五年,襄公六年,
公元前五百六十六年,-566,乙未,羊,周朝,东周,春秋,东周灵王姬泄心,,,,灵王六年,襄公七年,
公元前五百六十五年,-565,丙申,猴,周朝,东周,春秋,东周灵王姬泄心,,,,灵王七年,襄公八年,
公元前五百六十四年,-564,丁酉,鸡,周朝,东周,春秋,东周灵王姬泄心,,,,灵王八年,襄公九年,
公元前五百六十三年,-563,戊戌,狗,周朝,东周,春秋,东周灵王姬泄心,,,,灵王九年,襄公十年,
公元前五百六十二年,-562,己亥,猪,周朝,东周,春秋,东周灵王姬泄心,,,,灵王十年,襄公十一年,
公元前五百六十一年,-561,庚子,鼠,周朝,东周,春秋,东周灵王姬泄心,,,,灵王十一年,襄公十二年,
公元前五百六十年,-560,辛丑,牛,周朝,东周,春秋,东周灵王姬泄心,,,,灵王十二年,襄公十三年,
公元前五百五十九年,-559,壬寅,虎,周朝,东周,春秋,东周灵王姬泄心,,,,灵王十三年,襄公十四年,
公元前五百五十八年,-558,癸卯,兔,周朝,东周,春秋,东周灵王姬泄心,,,,灵王十四年,襄公十五年,
公元前五百五十七年,-557,甲辰,龙,周朝,东周,春秋,东周灵王姬泄心,,,,灵王十五年,襄公十六年,
公元前五百五十六年,-556,乙巳,蛇,周朝,东周,春秋,东周灵王姬泄心,,,,灵王十六年,襄公十七年,
公元前五百五十五年,-555,丙午,马,周朝,东周,春秋,东周灵王姬泄心,,,,灵王十七年,襄公十八年,
公元前五百五十四年,-554,丁未,羊,周朝,东周,春秋,东周灵王姬泄心,,,,灵王十八年,襄公十九年,
公元前五百五十三年,-553,戊申,猴,周朝,东周,春秋,东周灵王姬泄心,,,,灵王十九年,襄公二十年,
公元前五百五十二年,-552,己酉,鸡,周朝,东周,春秋,东周灵王姬泄心,,,,灵王二十年,襄公二十一年,
公元前五百五十一年,-551,庚戌,狗,周朝,东周,春秋,东周灵王姬泄心,,,,灵王二十一年,襄公二十二年,
公元前五百五十年,-550,辛亥,猪,周朝,东周,春秋,东周灵王姬泄心,,,,灵王二十二年,,
公元前五百四十九年,-549,壬子,鼠,周朝,东周,春秋,东周灵王姬泄心,,,,灵王二十三年,,
公元前五百四十八年,-548,癸丑,牛,周朝,东周,春秋,东周灵王姬泄心,,,,灵王二十四年,,
公元前五百四十七年,-547,甲寅,虎,周朝,东周,春秋,东周灵王姬泄心,,,,灵王二十五年,,
公元前五百四十六年,-546,乙卯,兔,周朝,东周,春秋,东周灵王姬泄心,,,,灵王二十六年,,
公元前五百四十五年,-545,丙辰,龙,周朝,东周,春秋,东周景王姬贵,东周灵王姬泄心,,,灵王二十七年,,
公元前五百四十四年,-544,丁巳,蛇,周朝,东周,春秋,东周景王姬贵,,,,景王元年,,
公元前五百四十三年,-543,戊午,马,周朝,东周,春秋,东周景王姬贵,,,,景王二年,,
公元前五百四十二年,-542,己未,羊,周朝,东周,春秋,东周景王姬贵,,,,景王三年,,
公元前五百四十一年,-541,庚申,猴,周朝,东周,春秋,东周景王姬贵,,,,景王四年,,
公元前五百四十年,-540,辛酉,鸡,周朝,东周,春秋,东周景王姬贵,,,,景王五年,,
公元前五百三十九年,-539,壬戌,狗,周朝,东周,春秋,东周景王姬贵,,,,景王六年,,
公元前五百三十八年,-538,癸亥,猪,周朝,东周,春秋,东周景王姬贵,,,,景王七年,,
公元前五百三十七年,-537,甲子,鼠,周朝,东周,春秋,东周景王姬贵,,,,景王八年,,
公元前五百三十六年,-536,乙丑,牛,周朝,东周,春秋,东周景王姬贵,,,,景王九年,,
公元前五百三十五年,-535,丙寅,虎,周朝,东周,春秋,东周景王姬贵,,,,景王十年,,
公元前五百三十四年,-534,丁卯,兔,周朝,东周,春秋,东周景王姬贵,,,,景王十一年,,
公元前五百三十三年,-533,戊辰,龙,周朝,东周,春秋,东周景王姬贵,,,,景王十二年,,
公元前五百三十二年,-532,己巳,蛇,周朝,东周,春秋,东周景王姬贵,,,,景王十三年,,
公元前五百三十一年,-531,庚午,马,周朝,东周,春秋,东周景王姬贵,,,,景王十四年,,
公元前五百三十年,-530,辛未,羊,周朝,东周,春秋,东周景王姬贵,,,,景王十五年,,
公元前五百二十九年,-529,壬申,猴,周朝,东周,春秋,东周景王姬贵,,,,景王十六年,,
公元前五百二十八年,-528,癸酉,鸡,周朝,东周,春秋,东周景王姬贵,,,,景王十七年,,
公元前五百二十七年,-527,甲戌,狗,周朝,东周,春秋,东周景王姬贵,,,,景王十八年,,
公元前五百二十六年,-526,乙亥,猪,周朝,东周,春秋,东周景王姬贵,,,,景王十九年,,
公元前五百二十五年,-525,丙子,鼠,周朝,东周,春秋,东周景王姬贵,,,,景王二十年,,
